,tweets
66,RT _terrence My 2019 Goals 1 Eat healthy twice a week 2 Raise my credit score to 450 3 Put all my bills in my momma name 4 Adopt a…
67,Does Trump think he's on strike I'm visualizing the Trump family their WH staff fox and friends ou https://t.co/IbLp3n2pYX
68,"RT If you are upset that Rashida Tlaib said ""Impeach the motherf**ker ... .. but not upset that Trump bragged about grab…"
69,RT Ted Nugent went on stage and called President Obama a “piece of shit and Hillary Clinton a “worthless bitch. Then Trump…
70,RT Reporter Do you have in mind a safety net for [federal workers who need their checks? Trump The safety net is going to be…
71,RT NEW It's not just Democrats who want more information about the TRUMP administration's move to lift sanctions on Russian oli…
72,Bolsonaro.. is the new Trump.. https://t.co/7E247LyJ0L
73,"Okay so I assume Trump's just talking out of his ass again but if the government were to shut done for ""years"" w https://t.co/VWwXpFEYHR"
74,RT Why is the American nationalism of Donald Trump so thrilling to non-Americans Because he is giving us permission to be na…
75,RT Trump’s wildly Putinesque praise for the Soviet invasion of Afghanistan is the most decisive evidence yet of his total unfitn…
76,RT Here's How The Trump Admin's Latest Plan To Rollback Civil Rights May Impact You .. https://t.co/cLuW26PTkx #RolandMar…
77,RT Kevin McCarthy’s face when Trump says he can declare martial law to get his wall https://t.co/zzjI6l8epl
78,RT _terrence “When they go low we go high” Michelle Obama If that’s true then why are they praising this women for saying impeach Mo…
79,RT Democrats vow to expose Trump’s tax returns. WHO CARES. I want to know how Obama’s wealth increased twelve fold in 8 ye…
80,RT If ever a single image was able to sum up an entire administration This one typifies the Trump garbage heap perfectly.…
81,Erin Burnett exposes Trump's broken promise https://t.co/Uz7bmDCE4u via
82,RT “You can’t impeach somebody that’s doing a great job that’s the way I look at it Trump says in Rose Garden This is f…
83,RT Melania Trump fled a communist country to come to the U.S as an immigrant She became an American citizen and is now Fi…
84,"RT As the shutdown hits two weeks it's important to remember what Trump said Dec 11. Trump If we don't get what we want,…"
85,RT Trump should do a press conference every day of the shutdown and bring out parents of the children who have been slaughte…
86,RT Democrats have zero message for the American people... “We’re going to go in and impeach the MotherF$%ker.” Rep Rashid…
87,RT It doesn’t take much observational skill or effort to try and follow the rambling illogical disconnected and untethe…
88,"RT Dear Trump Supporters, YOU ARE NEVER GETTING YOUR BIGOTRY WALL. YOU ARE NEVER GETTING YOUR BIGOTRY WALL. Let it sin…"
89,FBI will investigate where Trump got made-up Russian history of Afghanistan invasion Former intel chief https://t.co/rw0qIAX5nU
90,RT It is Saturday January 5 2019 One citizen I humbly call for the resignation of Donald J Trump as President of the Unit…
91,RT Let's be clear All Trump wants is to build his dumb wall This is not responding to a crisis This is not about borde…
92,RT Former Presidents Bush Obama Clinton We didn't talk to #Trump about border wall https://t.co/JEHQbtCwby
93,RT The lack of ethical reporting from the “anti-Trump is truly staggering When my father took office we volu…
94,Trump’s bizarre Rose Garden news conference shows why he’s impossible to negotiate with https://t.co/MGSJRDsM7W https://t.co/3dqk982eMY
95,RT Forbidden And they wonder why we call them Fascists Arizona GOP chairman warns state Republicans they are forbidden…
96,RT _mariotti Today Trump claimed he will seize large swaths of land from private citizens at gunpoint and declare a “state of emerg…
97,"RT Disturbing Anti-Semitic ""Palestinian Rashida Tlaib (there has NEVER been a nation called Palestine erases Israel…"
98,"RT Dangerous remarks of Xi Jinping,the beginning of New Year ""Unification of Taiwan by China"" At that point he declared not…"
99,Ethics Group Asks Justice Department to Investigate Ivanka Trump Tax Break Program #Topbuzz https://t.co/UtmORACYVk
